starttime,lane_1_occ,lane_1_spd,lane_1_vol,lane_2_occ,lane_2_spd,lane_2_vol,lane_3_occ,lane_3_spd,lane_3_vol,lane_r_1_vol
"2017-07-10 05:40:00-07",8.4,62.56,71,12.93,69.68,134,12.2,70.4,199,
"2017-07-10 05:45:00-07",9.36,59.73,75,11.36,67.33,110,13.93,67.01,195,
"2017-07-10 05:50:00-07",10.13,65.24,90,9.13,69.73,118,8.47,72.35,138,
"2017-07-10 05:55:00-07",8.36,64.86,85,10,69.26,103,9.71,73.41,150,
"2017-07-10 06:00:00-07",12,63.1,103,13.47,67.6,142,12.67,70.71,199,
"2017-07-10 06:05:00-07",10.21,60.49,88,11.57,67.97,111,11.79,69.21,177,
"2017-07-10 06:10:00-07",14.6,60.13,119,14.27,63.96,135,14.93,65.81,216,
"2017-07-10 06:15:00-07",27.71,32.94,123,25.93,33.3,119,22.93,33.26,136,
"2017-07-10 06:20:00-07",21.2,41.75,150,20.6,43.16,142,19.8,41.14,161,
"2017-07-10 06:25:00-07",17.21,49.37,130,18.64,52.52,124,13.29,54.34,152,
"2017-07-10 06:30:00-07",21.07,47.82,136,18.2,50.7,161,15.67,50.61,175,
"2017-07-10 06:35:00-07",32.93,25.44,122,26,30.19,131,20.71,31.21,129,
"2017-07-10 06:40:00-07",31.73,30.56,146,29.13,32.05,132,20.47,33.46,143,
"2017-07-10 06:45:00-07",24.13,34.49,75,26.13,35.91,74,18.13,38.64,83,
"2017-07-10 06:50:00-07",24,36.76,142,18.8,41.48,143,17.2,43.3,168,
"2017-07-10 06:55:00-07",29.21,29.98,129,24.14,32.19,113,22.29,33.02,134,
"2017-07-10 07:00:00-07",24.07,33.88,106,24.53,34.72,127,19.2,36.37,150,
"2017-07-10 07:05:00-07",29.14,27.06,113,30.36,29.84,114,21.79,31.97,142,
"2017-07-10 07:10:00-07",34.73,25.19,102,28.09,31.18,89,18.82,36.3,111,
"2017-07-10 07:15:00-07",19.08,45.22,115,16.92,47.33,110,14.67,48.21,131,
"2017-07-10 07:20:00-07",27.53,38.17,100,27.27,36.84,116,18.47,38.62,132,
"2017-07-10 07:25:00-07",31.21,26.47,105,24.43,31.23,122,19.43,34.81,138,
"2017-07-10 07:30:00-07",26.6,35.82,135,19.33,38.27,127,17.87,41.47,156,
"2017-07-10 07:35:00-07",28.93,25.37,110,26.43,28.75,104,22,31.87,133,
"2017-07-10 07:40:00-07",25.93,29.51,106,22.33,33.66,125,18.27,37.36,152,
"2017-07-10 07:45:00-07",26.79,31.31,128,20.79,37.72,125,18.43,39.46,150,
"2017-07-10 07:50:00-07",11,60.33,103,9.73,64.81,105,9.13,68.32,145,
"2017-07-10 07:55:00-07",7.36,63.93,80,9.64,66.19,97,8.21,71,123,
"2017-07-10 08:00:00-07",12.53,58.91,117,11.67,63.25,99,8.93,69.5,133,
"2017-07-10 08:05:00-07",12.29,58.93,92,8.29,66.95,86,9.14,71.16,128,
"2017-07-10 08:10:00-07",9.91,56.09,67,15.27,62.57,101,7.45,70.23,95,
"2017-07-10 08:15:00-07",9.67,57.26,76,10.33,67.34,100,9.83,68.17,113,
"2017-07-10 08:20:00-07",9.93,61.58,95,10.87,67.4,121,6.4,71.71,105,
"2017-07-10 08:25:00-07",12.71,58.91,94,11.79,65.59,125,7.93,70.7,122,
"2017-07-10 08:30:00-07",11.47,59.47,90,10.87,66.2,106,6.8,71.13,113,
"2017-07-10 08:35:00-07",9.79,60.07,71,10.43,67.51,96,9.07,70.44,135,
"2017-07-10 08:40:00-07",11.6,61.56,101,11.4,66.19,109,7.93,71.6,121,
"2017-07-10 08:45:00-07",9.86,61.26,74,9.57,66.42,96,9.07,71.65,135,
"2017-07-10 08:50:00-07",9.64,58.85,59,10.55,64.83,86,9.45,70.77,111,
"2017-07-10 08:55:00-07",12.5,58.19,63,11.33,65.56,82,6,70.97,78,
"2017-07-10 09:00:00-07",9.07,62.07,89,12.07,65.95,99,9,69.95,148,
"2017-07-10 09:05:00-07",10.64,56.33,76,15.21,62.96,119,12.29,68.75,163,
"2017-07-10 09:10:00-07",9.45,59.8,59,10.82,68.3,83,6.64,73.2,84,
"2017-07-10 09:15:00-07",10.75,60.73,62,8.17,67.41,70,6.33,71.89,87,
"2017-07-10 09:20:00-07",11.6,59.49,89,9.8,66.15,110,7.6,70.69,127,
"2017-07-10 09:25:00-07",12.71,59.07,89,12.71,65.68,114,7.43,70.72,111,
"2017-07-10 09:30:00-07",14.2,56.72,103,13.27,62.76,135,8.13,69.35,133,
"2017-07-10 09:35:00-07",13,59.08,93,15.86,63.52,115,11.21,68.01,160,
"2017-07-10 09:40:00-07",13.8,59.47,115,13.13,63.08,119,8.27,68.52,133,
"2017-07-10 09:45:00-07",12.43,60,84,10.5,65.37,99,8.93,69.3,123,
"2017-07-10 09:50:00-07",12.8,60.31,98,13.2,66.66,136,8.53,71.91,132,
"2017-07-10 09:55:00-07",8.29,63.13,77,14.36,65.32,110,7.71,70.94,111,
"2017-07-10 10:00:00-07",9.87,59.15,97,9.47,65.38,104,7.53,69.93,126,
