starttime,lane_1_occ,lane_1_spd,lane_1_vol,lane_2_occ,lane_2_spd,lane_2_vol,lane_3_occ,lane_3_spd,lane_3_vol
"2017-07-10 00:00:00-07",0.13,72.2,5,0.67,69.58,24,1.33,66.31,16
"2017-07-10 00:05:00-07",0.62,69.76,17,0.77,70.36,22,1.62,64.44,18
"2017-07-10 00:10:00-07",0.45,69.08,13,1.82,69.75,24,2.09,62.5,12
"2017-07-10 00:15:00-07",0,64.86,7,0.67,68.35,17,1.83,59.54,13
"2017-07-10 00:20:00-07",0.2,69.13,8,0.27,71.83,12,1.6,58.15,13
"2017-07-10 00:25:00-07",0.07,67,4,0.43,68.58,12,0.21,61.33,6
"2017-07-10 00:30:00-07",0.4,69.57,14,1.13,69.11,27,1.33,65.29,14
"2017-07-10 00:35:00-07",0.07,67.17,12,0.79,66.65,23,1.36,62.32,19
"2017-07-10 00:40:00-07",0.33,64.56,9,1.4,70.78,27,1.8,66,14
"2017-07-10 00:45:00-07",0.43,69.27,15,3.43,64.04,26,2.86,54.36,14
"2017-07-10 00:50:00-07",0.27,43.91,11,3.2,66.08,26,2,58.94,17
"2017-07-10 00:55:00-07",0,81,1,0.86,71.24,17,1.36,66.5,16
"2017-07-10 01:00:00-07",0,67.5,4,1,68.47,15,2,62.67,15
"2017-07-10 01:05:00-07",0,67.67,3,0.71,64.06,16,1.86,51.43,7
"2017-07-10 01:10:00-07",0,65,2,0.47,64.71,14,1.2,60.67,12
"2017-07-10 01:15:00-07",0.14,66.57,7,0.93,66.14,21,0.43,59.75,4
"2017-07-10 01:20:00-07",0.07,67,2,0.27,67,10,1.33,63.24,17
"2017-07-10 01:25:00-07",0.07,68,2,1.71,66.43,21,3.64,53.25,16
"2017-07-10 01:30:00-07",0,22,3,0.67,67.21,14,1.27,60.86,7
"2017-07-10 01:35:00-07",0,70,1,2.86,63.63,19,1.57,59.46,13
"2017-07-10 01:40:00-07",0.2,73,6,0.27,71.17,6,3,59.69,13
"2017-07-10 01:45:00-07",0,68.57,7,1.07,50.47,15,1.79,61.46,13
"2017-07-10 01:50:00-07",0,69.5,2,0.67,67,5,0.4,64,2
"2017-07-10 01:55:00-07",0,64,3,0.5,69.33,6,1.5,58.36,11
"2017-07-10 02:00:00-07",0,64,2,1.13,66.75,16,0.87,64.33,12
"2017-07-10 02:05:00-07",0,68.33,3,0.07,70.2,10,0.64,65.89,9
"2017-07-10 02:10:00-07",0,65.67,3,0.53,62.8,10,1.2,59.09,11
"2017-07-10 02:15:00-07",0,66,3,1.71,61.95,21,2.57,62.62,13
"2017-07-10 02:20:00-07",0,68.2,5,0.4,65.73,11,1.6,58.89,9
"2017-07-10 02:25:00-07",0,87,2,0.86,58.14,14,2.07,64.62,13
"2017-07-10 02:30:00-07",0,71.5,4,0.13,71.43,7,4.27,60.64,22
"2017-07-10 02:35:00-07",0,70,3,0.07,68.67,6,1.57,62.4,10
"2017-07-10 02:40:00-07",0,62.67,3,0,69,4,1.93,61.25,16
"2017-07-10 02:45:00-07",0,,0,0.64,66.59,17,0.86,64.25,8
"2017-07-10 02:50:00-07",0,68,6,2.89,62.6,10,1.33,60,6
"2017-07-10 02:55:00-07",0.29,67.78,9,1.36,68.67,12,3.29,57.71,14
"2017-07-10 03:00:00-07",0.07,66,2,0.8,58.47,15,1.87,61.77,13
"2017-07-10 03:05:00-07",0,65,3,1.29,62.91,11,2.21,60.08,13
"2017-07-10 03:10:00-07",0,72,4,0.27,66.69,13,1.18,61.75,8
"2017-07-10 03:15:00-07",0,69,2,1.17,65.6,10,2.92,60.46,13
"2017-07-10 03:20:00-07",0.07,69.5,6,0,68.4,5,2.47,60.06,17
"2017-07-10 03:25:00-07",0,70,1,0.86,66.71,14,1.14,66.82,11
"2017-07-10 03:30:00-07",0,74,1,0.27,70.67,12,2.73,61.43,14
"2017-07-10 03:35:00-07",0,67,1,0.29,73.33,9,1.14,48.29,7
"2017-07-10 03:40:00-07",0,68,5,1,64,8,1.13,41.78,9
"2017-07-10 03:45:00-07",0,65.75,4,0.57,65.5,8,0.79,51.14,7
"2017-07-10 03:50:00-07",0,73,1,0.47,68,4,2.53,54.45,20
"2017-07-10 03:55:00-07",0,70.33,3,2,65.94,18,4.36,61.41,22
"2017-07-10 04:00:00-07",0,,0,0.1,64.71,7,4.6,52.13,16
"2017-07-10 04:05:00-07",0.14,68.2,5,0.79,67.43,14,3.07,59.91,22
"2017-07-10 04:10:00-07",0,70.67,3,0.2,67.8,10,0.73,62.57,7
"2017-07-10 04:15:00-07",0.29,71.75,8,1.93,65.55,22,2.36,59.41,17
"2017-07-10 04:20:00-07",0.53,69,14,1.73,64.93,15,2.13,64.25,20
"2017-07-10 04:25:00-07",0,67.67,6,2.36,65.17,24,4.21,59.82,17
"2017-07-10 04:30:00-07",0.47,67,9,3.2,65.3,30,1.6,58.85,13
"2017-07-10 04:35:00-07",0.14,74.67,3,1.43,65.9,21,1.86,64.4,10
"2017-07-10 04:40:00-07",0.33,69,10,2.27,66.62,26,4,61.69,26
"2017-07-10 04:45:00-07",0.5,73.33,9,0.25,68.71,7,7,61.79,24
"2017-07-10 04:50:00-07",0.07,69.5,4,0.4,72.17,12,3.6,60.43,21
"2017-07-10 04:55:00-07",0.25,68.67,6,2.38,66.85,13,2.63,52.67,9
"2017-07-10 05:00:00-07",0.27,71.13,15,2.47,69.09,34,5.07,64.37,27
"2017-07-10 05:05:00-07",0.64,69.25,16,4.21,67.59,44,2.57,62,18
"2017-07-10 05:10:00-07",0.53,70.77,13,2.07,67,18,3.87,62.04,28
"2017-07-10 05:15:00-07",0.79,73.17,23,2.57,70.07,30,3,65.74,19
"2017-07-10 05:20:00-07",0.87,70.93,29,4.07,67.64,50,3.6,65.54,24
"2017-07-10 05:25:00-07",0.86,70.19,26,4.07,68.84,50,8.14,59.93,41
"2017-07-10 05:30:00-07",2.67,70.64,50,3.4,69.85,52,5.53,65.59,39
"2017-07-10 05:35:00-07",1,70.85,26,3.79,70.39,56,7.07,63.19,43
"2017-07-10 05:40:00-07",1.4,72.64,36,3.53,68.69,51,5.07,64.78,37
"2017-07-10 05:45:00-07",2.07,71.76,46,4.36,69.8,59,5.79,59.04,50
"2017-07-10 05:50:00-07",1.47,71.62,39,3.2,72.22,49,5.47,65.67,42
"2017-07-10 05:55:00-07",1.36,73.12,33,4.36,71.39,51,6,61.95,44
"2017-07-10 06:00:00-07",2.47,72.2,50,4.07,69.96,69,5.93,65.45,49
"2017-07-10 06:05:00-07",2.43,70.64,42,3.93,70.44,52,8.29,64.43,56
"2017-07-10 06:10:00-07",2.93,73.27,64,5.87,70.43,80,5.33,65.24,46
"2017-07-10 06:15:00-07",4.07,72.45,69,4.71,69.51,59,6.93,64.11,44
"2017-07-10 06:20:00-07",5.13,69.66,91,7.13,67.55,95,6.27,60.38,48
"2017-07-10 06:25:00-07",5.5,70.6,84,5.86,67.7,63,6.57,64.41,56
"2017-07-10 06:30:00-07",5.33,70.33,98,7.4,68.59,98,9.53,62.49,63
"2017-07-10 06:35:00-07",5.5,69.18,98,7,68.91,85,6.64,63.75,69
"2017-07-10 06:40:00-07",4.67,69.61,90,5.93,69.08,93,5.53,65.54,70
"2017-07-10 06:45:00-07",3.25,69.79,33,6.25,70.59,44,3.75,64.83,23
