starttime,lane_1_occ,lane_1_spd,lane_1_vol,lane_2_occ,lane_2_spd,lane_2_vol,lane_3_occ,lane_3_spd,lane_3_vol
"2017-07-10 06:50:00-07",6.53,67.94,108,7,68.37,83,7.73,60.92,76
"2017-07-10 06:55:00-07",5,69.65,80,6.14,67.44,79,6.5,63.41,69
"2017-07-10 07:00:00-07",5.93,68.18,107,5.4,67.66,70,7,63.1,69
"2017-07-10 07:05:00-07",4.57,69.79,75,5.86,66.92,78,9.29,62.33,81
"2017-07-10 07:10:00-07",6.18,68.2,83,9.64,66.3,76,9.55,61.51,55
"2017-07-10 07:15:00-07",8.08,68.28,109,7.17,66.31,71,11.58,57.29,78
"2017-07-10 07:20:00-07",6.73,69.22,118,7.2,68.72,79,8,56.78,77
"2017-07-10 07:25:00-07",6.64,69.31,108,6.71,69.81,81,9.79,63.57,74
"2017-07-10 07:30:00-07",5.27,69.29,96,6.6,68.92,74,7.53,63.06,93
"2017-07-10 07:35:00-07",6.64,68.7,120,10.43,68.07,92,7.64,61.86,65
"2017-07-10 07:40:00-07",8,68.48,146,8.73,70.89,99,10.6,63.72,97
"2017-07-10 07:45:00-07",4.07,68.99,70,5.71,67.54,74,7.43,60.67,81
"2017-07-10 07:50:00-07",5.67,68.2,95,8.8,70.11,92,9.73,62.93,86
"2017-07-10 07:55:00-07",5.64,68.96,94,7.64,67.87,75,11.57,61.33,80
"2017-07-10 08:00:00-07",4.6,68.7,86,6.2,68.8,76,5.67,62.29,63
"2017-07-10 08:05:00-07",3.86,68.8,70,8.57,65.74,78,7.29,64.44,68
"2017-07-10 08:10:00-07",4.82,67.98,56,9.91,66.63,73,6.64,60.55,51
"2017-07-10 08:15:00-07",4.75,71.04,75,9.92,69.15,87,9.83,64,59
"2017-07-10 08:20:00-07",7.53,66.04,128,11.13,65.7,101,7.33,60.04,76
"2017-07-10 08:25:00-07",6.07,67.95,97,7.36,68.46,83,9.64,60.33,73
"2017-07-10 08:30:00-07",7.4,66.1,120,9.67,64.65,86,9.27,60.03,77
"2017-07-10 08:35:00-07",4.71,69.06,79,5.93,68.02,84,7.71,60.43,61
"2017-07-10 08:40:00-07",4.87,68.48,90,6.2,65.93,85,6.8,61.23,62
"2017-07-10 08:45:00-07",2.93,69.37,60,4.57,69.01,74,7.71,61.84,69
"2017-07-10 08:50:00-07",3.27,67.38,45,6,70.19,57,7.73,63.28,53
"2017-07-10 08:55:00-07",6.17,68.88,82,5.25,67.66,58,10,63.95,85
"2017-07-10 09:00:00-07",4.93,57.36,87,10.33,69.56,109,10.4,59.48,83
"2017-07-10 09:05:00-07",4.29,71.54,79,5.86,67.76,68,6.5,65,60
"2017-07-10 09:10:00-07",4.27,68.79,56,7.27,68.47,62,7.64,64.68,60
"2017-07-10 09:15:00-07",6.17,66.61,87,8,67.94,68,6.5,60.37,54
"2017-07-10 09:20:00-07",6.4,66.46,109,8.07,66.63,97,8.93,63.4,89
"2017-07-10 09:25:00-07",7.86,65.76,121,11.07,64.11,90,9.64,61.39,76
"2017-07-10 09:30:00-07",6.8,68.53,118,9,65.54,95,7.87,59.87,76
"2017-07-10 09:35:00-07",6.29,68.2,102,9,66.58,93,7.86,63.72,68
"2017-07-10 09:40:00-07",8.6,67.17,150,8.13,64.52,82,10.27,60.25,80
"2017-07-10 09:45:00-07",5.64,69.08,96,10.71,63.55,88,11.21,56.33,90
"2017-07-10 09:50:00-07",6.47,65.7,105,10.2,64.89,83,12.93,59.61,89
"2017-07-10 09:55:00-07",5.07,68.28,80,8.64,66.03,92,8.64,61.14,71
"2017-07-10 10:00:00-07",4.67,68.41,80,9.4,65.3,87,9.4,60.38,76
"2017-07-10 10:05:00-07",8.07,66.6,124,12,63.83,102,8.57,59.56,70
"2017-07-10 10:10:00-07",10.82,65,128,14.82,62.87,87,11.82,55.61,80
"2017-07-10 10:15:00-07",7.25,65.61,66,10.75,64.13,64,10.75,58.43,51
"2017-07-10 10:20:00-07",8.33,64.81,135,12.07,63.09,116,15.93,55.68,113
"2017-07-10 10:25:00-07",8.14,66.48,124,9.57,65.15,82,11.07,57.43,79
"2017-07-10 10:30:00-07",9.2,63.37,146,10.2,64.51,111,14.8,54.59,106
"2017-07-10 10:35:00-07",11.5,65.8,168,12.71,64.92,115,12.36,56.7,96
"2017-07-10 10:40:00-07",7.67,67.03,120,10.27,64.97,108,9.93,60.59,88
"2017-07-10 10:45:00-07",6.93,65.24,105,9.57,63.84,93,10.86,59.09,78
"2017-07-10 10:50:00-07",9,66.5,145,10.4,64.71,106,9.6,58.52,96
"2017-07-10 10:55:00-07",8.88,67.21,82,12.75,64.48,58,11.38,59.91,46
"2017-07-10 11:00:00-07",6.6,67.77,112,9.33,66.12,100,8.47,60.11,73
"2017-07-10 11:05:00-07",7.86,65.93,119,10.36,65,103,7.86,60.01,95
"2017-07-10 11:10:00-07",9,66.66,156,12.8,64.24,121,12.47,58.92,111
"2017-07-10 11:15:00-07",6.64,64.35,105,10.57,63.31,88,9.93,57.22,85
"2017-07-10 11:20:00-07",8.87,64.53,142,12.33,63.49,114,14.4,57.72,113
"2017-07-10 11:25:00-07",9.71,64.37,143,13.21,62.72,101,8.43,58.76,85
"2017-07-10 11:30:00-07",7.87,65.95,133,9.2,64.92,86,13,57.69,97
"2017-07-10 11:35:00-07",7.43,65.87,113,10.29,64.83,109,10.71,59.34,91
"2017-07-10 11:40:00-07",6.67,66.74,109,10.2,64.63,113,10.6,61.65,109
"2017-07-10 11:45:00-07",6.5,66.7,103,11.07,65,101,9.57,60.51,102
"2017-07-10 11:50:00-07",7.47,66.1,126,9.33,65,70,11.27,58.98,100
"2017-07-10 11:55:00-07",8.5,64.99,69,11.88,62.58,52,9.63,57.94,49
"2017-07-10 12:00:00-07",6.33,64.87,63,7.89,63.62,45,10.22,56.36,66
"2017-07-10 12:05:00-07",6.14,65.3,100,10.43,64.49,84,9.5,59.57,102
"2017-07-10 12:10:00-07",4.82,68.09,66,8.27,65.28,64,10.09,56.41,58
"2017-07-10 12:15:00-07",6.58,64.74,82,8.5,64,75,7.75,60.65,68
"2017-07-10 12:20:00-07",9.13,66.12,144,9.2,63.58,98,9.73,59.96,85
"2017-07-10 12:25:00-07",7.86,63.89,119,11.93,63.48,110,9.71,59.18,102
"2017-07-10 12:30:00-07",7.07,54.62,103,15.67,49.82,95,12.47,48.09,94
"2017-07-10 12:35:00-07",9.57,64.23,128,12.36,63.06,99,10.71,59.38,84
"2017-07-10 12:40:00-07",8.73,64.99,108,9.36,64.01,71,9.82,61.29,79
"2017-07-10 12:45:00-07",11.5,63.19,68,11.83,61.74,38,8.83,53.8,45
"2017-07-10 12:50:00-07",10.56,62.54,92,10.89,60.96,68,12.22,56.79,70
"2017-07-10 12:55:00-07",9.93,61.47,142,13.71,60.56,115,11.57,56.41,101
"2017-07-10 13:00:00-07",9.87,62.69,150,13.73,61.34,111,10.2,55.43,106
"2017-07-10 13:05:00-07",8.64,62.6,127,14.29,62,104,10.43,58.62,77
"2017-07-10 13:10:00-07",11.53,58.41,158,14.27,56.56,126,13,52.54,127
"2017-07-10 13:15:00-07",9.64,64.31,143,14.21,61.32,95,9.93,56.59,97
"2017-07-10 13:20:00-07",10.64,63.61,122,11.36,60.96,72,10.27,55.22,83
"2017-07-10 13:25:00-07",9.42,63.15,111,11.25,60.64,88,12.08,56.9,91
"2017-07-10 13:30:00-07",6.8,66.3,111,9.87,63.62,77,8.4,57.56,78
"2017-07-10 13:35:00-07",7.14,61.56,101,11.5,62.13,93,10,56.11,101
"2017-07-10 13:40:00-07",8.13,66.09,130,8.4,62.9,93,11.27,58.48,116
"2017-07-10 13:45:00-07",10.79,62.91,157,13.57,62.71,104,8.79,59.69,99
"2017-07-10 13:50:00-07",9.33,62.21,140,12.67,60.35,103,8.2,56.52,99
"2017-07-10 13:55:00-07",9.21,64.74,126,12.21,63.34,91,11.86,57.22,89
"2017-07-10 14:00:00-07",12.78,49.79,90,18.22,46.58,57,12.56,44,55
"2017-07-10 14:05:00-07",14.5,37.64,131,21.21,36.53,97,29.86,28.4,130
"2017-07-10 14:10:00-07",15.36,42.68,117,16.55,43.67,69,23.55,35,104
"2017-07-10 14:15:00-07",10.67,65.47,68,11.67,64.54,48,9,57.76,50
"2017-07-10 14:20:00-07",7.53,65.38,123,10.73,65.35,93,11.07,54.96,102
"2017-07-10 14:25:00-07",10.21,63.1,147,12.21,60.7,106,10.71,53.3,99
"2017-07-10 14:30:00-07",9.93,63.52,153,11.53,53.75,110,12.33,54.46,117
"2017-07-10 14:35:00-07",12.93,60.75,177,11.57,58.14,99,15,50.37,136
"2017-07-10 14:40:00-07",9,63.28,138,10.93,62.69,108,11.13,56.82,129
"2017-07-10 14:45:00-07",11.57,62.13,171,13.07,61.94,121,10.36,56.74,125
"2017-07-10 14:50:00-07",11.2,63.88,175,12.07,61.04,123,15.87,53.84,133
"2017-07-10 14:55:00-07",10,63.73,149,12.64,61.46,108,12.64,55.67,128
"2017-07-10 15:00:00-07",12.93,54.36,168,13.33,57.19,118,15.13,48.75,138
"2017-07-10 15:05:00-07",11.36,59.36,153,11.07,57.79,94,11.07,50,100
"2017-07-10 15:10:00-07",11.8,60.1,118,10.8,59.76,66,14.8,49.76,92
"2017-07-10 15:15:00-07",11.14,61.25,158,11.29,60.54,100,11.29,55.85,122
"2017-07-10 15:20:00-07",13.53,49.33,129,13.27,49.85,94,18.53,47.42,113
"2017-07-10 15:25:00-07",26.07,22.48,124,29.07,24.12,98,37.5,16.66,125
"2017-07-10 15:30:00-07",27.4,19.51,122,26.67,21.37,107,35.93,16.32,114
"2017-07-10 15:35:00-07",15.07,35.77,124,23,31.5,112,39.14,19.37,115
"2017-07-10 15:40:00-07",28.07,18.75,123,27.33,21.07,102,39.73,12.43,97
"2017-07-10 15:45:00-07",25.71,21.67,122,38,19.2,102,39.71,13.95,93
"2017-07-10 15:50:00-07",25.93,18.3,112,32.87,17.54,92,41.47,11.65,102
"2017-07-10 15:55:00-07",28.25,18.32,68,37.5,17.1,49,28.38,15.96,49
"2017-07-10 16:00:00-07",27.27,21.48,127,33.2,23.28,109,34.73,14.39,96
"2017-07-10 16:05:00-07",30.93,19.67,98,42.29,15.61,98,39.07,13.72,88
"2017-07-10 16:10:00-07",30.53,17.74,107,35.2,16.32,110,41,13.65,100
"2017-07-10 16:15:00-07",28.14,18.75,120,37.14,17.33,102,43,12.53,80
"2017-07-10 16:20:00-07",29.27,17.65,114,32.73,20.07,111,40.87,14.4,101
"2017-07-10 16:25:00-07",28.5,18.19,109,33.43,20.54,103,37.29,15.45,106
"2017-07-10 16:30:00-07",25.73,19.52,106,36,17.98,96,30.93,19.51,121
"2017-07-10 16:35:00-07",25.43,21.58,102,31.86,22.43,103,38.29,17.01,109
"2017-07-10 16:40:00-07",19,33.84,96,25.4,30.65,74,27.4,23.09,86
"2017-07-10 16:45:00-07",15,38.72,137,21.07,36.57,129,31.5,24.87,143
"2017-07-10 16:50:00-07",17.2,38.15,163,18.33,37.26,131,30.6,25.92,145
"2017-07-10 16:55:00-07",15.36,38.54,136,23.64,34.87,127,30.93,23.89,151
"2017-07-10 17:00:00-07",17.6,36.4,159,21.2,35.15,118,33.07,22.65,134
"2017-07-10 17:05:00-07",14.29,40.48,139,16.79,37.64,106,28.86,25.79,142
"2017-07-10 17:10:00-07",15,41.47,113,19.45,38.75,83,23.55,27.74,93
"2017-07-10 17:15:00-07",17.67,36.3,120,21.67,34.26,94,27,23.92,125
"2017-07-10 17:20:00-07",16.2,37.83,151,21,35.9,120,26.07,24.77,133
"2017-07-10 17:25:00-07",16.43,37.8,143,25.07,33.26,125,31.5,24.78,147
"2017-07-10 17:30:00-07",13.82,40.43,99,20.91,37.93,92,30.09,22.97,103
"2017-07-10 17:35:00-07",15.75,39.2,122,19.75,37.63,86,24.58,27.05,116
"2017-07-10 17:40:00-07",16.73,37.75,148,22.93,34.7,125,29.13,24.07,153
"2017-07-10 17:45:00-07",15.07,38.91,134,17.86,35.16,107,32.71,24.9,147
"2017-07-10 17:50:00-07",17,37.32,159,19.2,35.25,114,32.13,25.28,141
"2017-07-10 17:55:00-07",16.71,37.68,137,18.5,37.11,115,27.36,26.25,125
"2017-07-10 18:00:00-07",13.67,38.35,132,24.87,34.53,115,29.73,24.49,155
"2017-07-10 18:05:00-07",15.14,39.74,140,22,35.63,118,28.57,24.35,120
"2017-07-10 18:10:00-07",14.09,38.89,101,20.27,37.75,77,28,27.39,109
"2017-07-10 18:15:00-07",15.25,40.85,123,23.83,37.15,94,28,25.99,114
"2017-07-10 18:20:00-07",16.2,40.32,151,17.87,37.51,114,33.13,24.29,143
"2017-07-10 18:25:00-07",13.36,38.53,118,19.79,35.5,111,34.36,22.59,132
"2017-07-10 18:30:00-07",11.67,39.44,72,16.78,35.04,57,30.22,23.29,82
"2017-07-10 18:35:00-07",14.43,38.42,124,22.79,34.42,113,30.57,25.3,135
"2017-07-10 18:40:00-07",13.67,37.7,122,17.73,35.04,110,31.67,22.22,139
"2017-07-10 18:45:00-07",14.29,39.57,134,19.14,36.87,94,28.14,28.2,140
"2017-07-10 18:50:00-07",16.13,36.9,136,20.13,37.12,113,33.47,22.16,141
"2017-07-10 18:55:00-07",16.14,36.38,131,21.43,33.32,101,28.79,24.39,125
"2017-07-10 19:00:00-07",13.93,38.17,131,17.53,36.86,103,35.8,22.07,123
"2017-07-10 19:05:00-07",13.93,39.28,127,23.21,34.56,111,30.57,23.8,120
"2017-07-10 19:10:00-07",17.93,39.99,172,24.33,37.93,118,27.8,30.23,140
"2017-07-10 19:15:00-07",10.14,56.96,134,12.5,56.04,93,13.86,50.12,113
"2017-07-10 19:20:00-07",7,66.19,122,7.53,64.84,69,8.87,55.07,108
"2017-07-10 19:25:00-07",3.79,70.65,65,5.07,67.61,62,7.64,60.47,68
"2017-07-10 19:30:00-07",3.33,68.92,64,4.07,68.27,59,5.4,63.11,62
"2017-07-10 19:35:00-07",4.79,68,78,7.21,66.66,79,5.86,64.36,67
"2017-07-10 19:40:00-07",4.07,68.74,78,5.47,68.6,78,5.47,65.73,60
"2017-07-10 19:45:00-07",2,69.14,43,4.07,69.4,52,4.43,59.8,50
"2017-07-10 19:50:00-07",4.13,69.32,81,6.4,68.8,71,3.67,63.68,53
"2017-07-10 19:55:00-07",2.71,70.33,55,5.57,68.59,75,6.36,65.17,72
"2017-07-10 20:00:00-07",3.7,62.47,47,4.6,69.28,36,5.4,64.26,31
"2017-07-10 20:05:00-07",3,68.14,56,6.57,65.8,60,4.43,66.16,50
"2017-07-10 20:10:00-07",3.67,70.06,70,4.93,68.02,61,6.13,61.33,69
"2017-07-10 20:15:00-07",3.21,69.34,62,5.5,68.33,67,4,63.63,57
"2017-07-10 20:20:00-07",4,69,74,6.2,68.61,69,5.6,60.79,68
"2017-07-10 20:25:00-07",3.43,70.77,62,4.14,69.48,61,7.86,65.27,82
"2017-07-10 20:30:00-07",2.27,71.38,48,4.67,70.05,60,3.07,63.07,46
"2017-07-10 20:35:00-07",4,67.93,71,8.36,64.09,70,4.36,62,48
"2017-07-10 20:40:00-07",2.67,69.35,60,5.47,67.22,69,3.73,63.66,50
"2017-07-10 20:45:00-07",3,68,53,4.21,68.09,44,6.86,60.08,62
"2017-07-10 20:50:00-07",2.47,70.34,56,5.13,68.73,67,6.47,62.66,76
"2017-07-10 20:55:00-07",1.71,70.23,39,3.5,69.1,52,4.36,64.72,47
"2017-07-10 21:00:00-07",2.13,70.64,47,4.2,66.17,60,5.27,63.86,56
"2017-07-10 21:05:00-07",0.64,70.96,24,4.36,70.83,48,3.57,63.53,45
"2017-07-10 21:10:00-07",1.33,70.44,27,3.78,68.52,33,7.11,62.26,43
"2017-07-10 21:15:00-07",2.64,67.76,49,4.57,67.08,48,6.79,60.5,52
"2017-07-10 21:20:00-07",1.67,69.83,23,2.89,69.53,30,5.22,62.97,31
"2017-07-10 21:25:00-07",3.36,65.85,62,5.43,66.65,54,5.64,61.34,47
"2017-07-10 21:30:00-07",2.2,68.8,49,5.33,67.02,66,3.8,62.05,55
"2017-07-10 21:35:00-07",2.29,67.7,47,3.86,65.53,55,4.64,61.78,41
"2017-07-10 21:40:00-07",2.6,67.23,52,4.8,66.05,55,4,61.27,45
"2017-07-10 21:45:00-07",1.14,68.26,34,4.07,65.72,53,3.07,60.94,33
"2017-07-10 21:50:00-07",1.67,66.54,39,3.93,63.9,50,2.8,61.62,34
"2017-07-10 21:55:00-07",2.07,66.65,37,5.57,64.94,64,5.29,62.37,38
"2017-07-10 22:00:00-07",2.56,67.12,34,3.11,64.96,23,2.44,64.61,23
"2017-07-10 22:05:00-07",1.5,68.39,44,3.29,68,39,5.36,61.76,41
"2017-07-10 22:10:00-07",2.36,68.62,37,4.45,65.15,40,3,62.97,31
"2017-07-10 22:15:00-07",2.83,66.6,47,4.5,63.27,37,3.5,61.18,28
"2017-07-10 22:20:00-07",0.87,65.87,30,3.73,58.7,43,3.73,56.16,50
"2017-07-10 22:25:00-07",1.29,66.19,31,3.79,64.2,41,3.93,59.66,29
"2017-07-10 22:30:00-07",2.13,64.4,40,5.2,62.81,53,1.6,56.6,20
"2017-07-10 22:35:00-07",1.25,65.25,16,3,65.64,22,3.63,60.48,25
"2017-07-10 22:40:00-07",0.73,67.67,27,3.47,64.27,41,2,59.47,19
"2017-07-10 22:45:00-07",0.63,63.31,13,2.5,65,22,0.88,64.73,11
"2017-07-10 22:50:00-07",0.53,67.27,22,3.93,62.23,31,1.87,59.76,25
"2017-07-10 22:55:00-07",0.86,68.95,22,4.29,67.27,44,1.86,64.2,30
"2017-07-10 23:00:00-07",1.6,67,21,3.4,65.69,26,1.9,59.26,19
"2017-07-10 23:05:00-07",1.93,68.91,43,2.14,66.88,34,5,60.24,42
"2017-07-10 23:10:00-07",0.4,68.2,10,3.1,67.35,26,2.7,61.26,23
"2017-07-10 23:15:00-07",1.36,66.15,33,1.86,65.13,31,1.71,66.09,23
"2017-07-10 23:20:00-07",0.47,68.8,25,2.33,64.19,21,2.07,64.15,20
"2017-07-10 23:25:00-07",0.64,68.57,14,1.43,66.93,28,3.86,62.45,40
"2017-07-10 23:30:00-07",0.4,62.88,16,2.67,62.55,40,3.53,62,32
"2017-07-10 23:35:00-07",0.14,58.5,6,3.5,61.96,48,4.14,58.19,32
"2017-07-10 23:40:00-07",0,65,3,2.6,59.47,32,3.27,58.33,24
"2017-07-10 23:45:00-07",0,61,2,2.5,63.64,22,2.63,59.39,18
"2017-07-10 23:50:00-07",0.93,66.3,23,2.07,66.92,25,1.2,62,14
"2017-07-10 23:55:00-07",0.14,70.43,7,2,65.22,23,2.07,60.57,21
"2017-07-11 00:00:00-07",0.09,67.5,10,1.09,63.36,14,5.73,61.62,29
"2017-07-11 00:05:00-07",0.36,66.25,16,2,65.16,25,2.55,59.8,10
"2017-07-11 00:10:00-07",0.09,50.75,8,1.55,69.15,20,2,53.33,12
"2017-07-11 00:15:00-07",0.17,67.38,8,0.25,66.29,14,0.58,64.58,12
"2017-07-11 00:20:00-07",0.07,70.4,10,1.27,66.86,21,4.87,60.52,29
"2017-07-11 00:25:00-07",0.07,67,5,1.14,64.53,15,2.29,58.15,20
"2017-07-11 00:30:00-07",0,71.43,7,3.8,64.59,29,1.6,50,12
"2017-07-11 00:35:00-07",0.43,66.75,8,0.93,61.36,14,2.07,63.17,18
"2017-07-11 00:40:00-07",0.33,71.71,14,1,67.86,21,1.8,64.42,24
"2017-07-11 00:45:00-07",0.07,70.89,9,1.43,66.33,18,1.57,64.11,9
"2017-07-11 00:50:00-07",0.13,68.67,6,0.53,71.5,12,1.6,62.47,17
"2017-07-11 00:55:00-07",0.14,67.67,6,1.29,64.88,16,2.64,60.36,14
"2017-07-11 01:00:00-07",0,69.6,5,0.4,64.88,17,1.33,64,11
"2017-07-11 01:05:00-07",0.14,71.67,6,1.14,65.75,16,2.29,61.71,14
"2017-07-11 01:10:00-07",0.18,64.56,9,0.55,62.21,14,5.36,59.06,18
"2017-07-11 01:15:00-07",0.5,66.76,17,3.33,62.94,17,2.92,60.33,12
"2017-07-11 01:20:00-07",0,67,2,1.87,69.05,19,1.73,45.43,21
"2017-07-11 01:25:00-07",0,66.2,5,1.5,64.44,18,1.64,59.5,8
"2017-07-11 01:30:00-07",0.09,65,7,1.45,65.07,15,3,61.67,12
"2017-07-11 01:35:00-07",0,64.86,7,2,65.64,25,2.17,65.14,14
