starttime,lane_1_occ,lane_1_spd,lane_1_vol,lane_2_occ,lane_2_spd,lane_2_vol,lane_3_occ,lane_3_spd,lane_3_vol
"2017-08-20 05:50:00-07",0.93,67.13,24,2.07,70.17,41,3.14,66.53,32
"2017-08-20 05:55:00-07",0.45,69.18,11,1.64,68.92,24,3.55,60.76,25
"2017-08-20 06:00:00-07",0.29,59.27,11,2.71,69.69,45,1.36,67.5,20
"2017-08-20 06:05:00-07",0.64,59.93,15,1.82,71,32,1.82,65.27,22
"2017-08-20 06:10:00-07",0.64,70.21,19,2.43,69.88,41,4.07,66.97,33
"2017-08-20 06:15:00-07",0.82,71.41,17,3.64,69.3,40,1.82,64.72,18
"2017-08-20 06:20:00-07",1.07,70.57,28,3.36,70.49,51,2.36,62.35,26
"2017-08-20 06:25:00-07",1.82,67,33,3.64,69.86,43,2.91,65.69,26
"2017-08-20 06:30:00-07",1.43,69.69,36,4.5,69.55,65,2.14,65.41,34
"2017-08-20 06:35:00-07",1.82,73.11,28,1.82,72.29,31,4.55,66.38,34
"2017-08-20 06:40:00-07",1,71.88,25,3.21,69.96,52,2.43,67.28,25
"2017-08-20 06:45:00-07",1.27,71.84,25,3.09,69.09,33,1.91,68.21,29
"2017-08-20 06:50:00-07",1.57,69.46,35,3.71,70.67,60,2.14,63.78,27
"2017-08-20 06:55:00-07",1.36,70.08,25,3,69.12,42,2.64,63.57,21
"2017-08-20 07:00:00-07",1.36,68.7,30,3.86,69.23,57,6.07,66.33,51
"2017-08-20 07:05:00-07",2.09,68.56,34,4.64,71.34,59,4.91,68.76,25
"2017-08-20 07:10:00-07",2.43,69.13,47,4.93,67.92,72,4.07,63.42,33
"2017-08-20 07:15:00-07",1.64,72.24,29,4.27,70.44,52,2.64,69.04,24
"2017-08-20 07:20:00-07",1,72.07,15,2.75,69.03,32,3,62.24,17
"2017-08-20 07:25:00-07",2.18,70.29,31,5.55,69.7,60,5.18,56.18,45
"2017-08-20 07:30:00-07",2,69.98,41,4.36,69.27,60,3.21,65.97,37
"2017-08-20 07:35:00-07",2.33,68,18,3.67,68.69,26,7.67,63.27,30
"2017-08-20 07:40:00-07",2.29,68.56,43,6.07,70.05,75,4.57,66.25,40
"2017-08-20 07:45:00-07",5.91,69.41,64,5.55,67.41,68,4.64,65.21,34
"2017-08-20 07:50:00-07",2.93,67.46,57,5.5,69.22,72,3.5,66.39,44
"2017-08-20 07:55:00-07",3.27,68.04,45,5.55,68.84,68,5.36,64.3,37
