starttime,lane_1_occ,lane_1_spd,lane_1_vol,lane_2_occ,lane_2_spd,lane_2_vol,lane_3_occ,lane_3_spd,lane_3_vol,lane_r_1_vol
"2017-08-20 02:50:00-07",0.93,65.36,11,1.07,72.24,17,0.14,78.75,4,
"2017-08-20 02:55:00-07",0.18,69.25,4,0.91,66.71,7,0,,0,
"2017-08-20 03:00:00-07",2.14,63.92,13,0.36,72.67,9,0,77.5,4,
"2017-08-20 03:05:00-07",1.27,67.75,8,0.18,68.17,6,0,82,1,
"2017-08-20 03:10:00-07",1.14,64.63,8,0.14,75.2,5,0,78,5,
"2017-08-20 03:15:00-07",1.64,63.69,13,0.36,69.22,9,0.36,73,8,
"2017-08-20 03:20:00-07",4.33,63.88,8,0.67,65.5,4,0.67,74.86,7,
"2017-08-20 03:25:00-07",1,60.13,8,1.18,72.19,16,0.18,72.6,5,
"2017-08-20 03:30:00-07",4.57,63.6,20,1.14,69.04,23,0,76.67,9,
"2017-08-20 03:35:00-07",2.09,63.44,9,0.82,72.77,13,0,76,2,
"2017-08-20 03:40:00-07",0.79,65.67,6,0.43,74.6,10,0,60.25,4,
"2017-08-20 03:45:00-07",0,72,1,2.2,70.86,7,0.2,79.5,4,
"2017-08-20 03:50:00-07",1,66.33,12,0.71,66.89,9,0,69,4,
"2017-08-20 03:55:00-07",3.09,63.69,13,0.18,68,9,0.09,72,2,
"2017-08-20 04:00:00-07",0.25,73,5,0.13,72.5,8,0,80,1,
"2017-08-20 04:05:00-07",2.73,65.07,14,1.45,70.65,17,0.09,76.86,7,
"2017-08-20 04:10:00-07",1.63,66.67,6,0.5,72.86,7,0.13,73,1,
"2017-08-20 04:15:00-07",1,61.86,7,0.82,69.25,12,0,70.8,5,
"2017-08-20 04:20:00-07",1.14,69.44,9,0.79,72.22,18,0.14,76.67,12,
"2017-08-20 04:25:00-07",3.18,55.87,15,1.82,74.17,18,0,76,1,
"2017-08-20 04:30:00-07",1.57,69.73,15,0.93,72.45,20,0,72.67,3,
"2017-08-20 04:35:00-07",1.18,65.27,15,1.36,71.53,17,0,77.13,8,
"2017-08-20 04:40:00-07",1.86,66.65,20,0.5,72.53,17,0.07,71.57,7,
"2017-08-20 04:45:00-07",1.91,65.67,9,2.18,70.92,26,0,74.8,5,
"2017-08-20 04:50:00-07",3,63.78,18,1.21,69.64,22,0.14,73.89,9,
"2017-08-20 04:55:00-07",0.45,69.7,10,0.82,73.36,11,0,78,2,
"2017-08-20 05:00:00-07",1.93,64.42,12,0.93,68.84,19,0,72,2,
"2017-08-20 05:05:00-07",2.82,65.15,13,1.45,70.86,21,0,73.6,5,
"2017-08-20 05:10:00-07",3.71,65.15,20,0.5,73.72,18,0,25.33,3,
"2017-08-20 05:15:00-07",1.45,63.5,12,2,74.86,21,0,74,3,
"2017-08-20 05:20:00-07",1.79,68.5,20,1.36,73.77,26,0.14,75.11,9,
"2017-08-20 05:25:00-07",1.82,60.42,12,1.64,71.74,19,0.09,74.86,7,
"2017-08-20 05:30:00-07",2.64,58.71,17,2.07,73.23,31,0.14,75.5,8,
"2017-08-20 05:35:00-07",2.73,66.61,18,1.36,71.25,16,0.55,74.14,14,
"2017-08-20 05:40:00-07",2.07,66.48,23,0.5,71.3,20,0.21,75.57,7,
"2017-08-20 05:45:00-07",2.27,63.5,18,2.36,71.56,27,0.18,78.45,11,
"2017-08-20 05:50:00-07",1.93,62.53,17,0.64,73.69,16,0,78.6,5,
"2017-08-20 05:55:00-07",2,62.08,13,1.91,71.71,21,0.27,58.6,5,
"2017-08-20 06:00:00-07",1.71,69,17,1,72.29,14,0.5,73.29,7,
"2017-08-20 06:05:00-07",2.55,63.21,14,2.09,71.68,25,0,76,4,
"2017-08-20 06:10:00-07",1.71,59.61,18,3.64,69.23,31,0.29,75,8,
"2017-08-20 06:15:00-07",2.55,64.29,14,1,70.72,18,0.09,77.25,4,
"2017-08-20 06:20:00-07",3.07,63.6,20,2,72.66,35,0.14,78,9,
"2017-08-20 06:25:00-07",2.91,66.81,21,1.82,73.88,16,0.18,74.67,9,
"2017-08-20 06:30:00-07",3.57,65.22,23,1.86,71,31,0.5,76.14,14,
"2017-08-20 06:35:00-07",4.73,67.1,31,2.55,71.97,29,0.45,75.29,14,
"2017-08-20 06:40:00-07",2.57,66.43,23,1.07,72.26,19,0.29,71,8,
"2017-08-20 06:45:00-07",6.18,63.97,30,1,75.08,12,0,75.6,5,
"2017-08-20 06:50:00-07",3.07,65.4,25,1.5,71.64,25,0.21,75.14,7,
"2017-08-20 06:55:00-07",3.27,65.96,24,2,71.14,28,0.36,73.33,9,
"2017-08-20 07:00:00-07",2.64,63.9,21,1.64,69.45,31,0.29,77.6,5,
"2017-08-20 07:05:00-07",3.27,62.08,12,0.73,74.6,15,0,80,5,
"2017-08-20 07:10:00-07",4.29,63.52,31,2.57,71.32,38,0.71,65.1,20,
"2017-08-20 07:15:00-07",4.27,65.97,30,1.73,73.41,29,0.09,75.67,6,
"2017-08-20 07:20:00-07",4.75,67.73,22,1.88,73.29,21,0.5,76.33,9,
"2017-08-20 07:25:00-07",6.91,66.83,35,3.64,72.94,33,1.27,73.19,21,
"2017-08-20 07:30:00-07",4.5,63.88,33,3.36,70.33,45,0.79,71,20,
"2017-08-20 07:35:00-07",0.67,64,4,0.33,73.33,6,0.33,76,2,
"2017-08-20 07:40:00-07",5.14,64.43,37,4.07,70.02,54,1.36,73.79,29,
"2017-08-20 07:45:00-07",4.64,65.37,30,3.55,71.2,40,0.55,76.13,15,
"2017-08-20 07:50:00-07",5.14,62.77,35,4.93,68.93,60,0.86,75.04,23,
"2017-08-20 07:55:00-07",2.45,66.59,29,2.82,72.81,32,0.82,72.5,12,
"2017-08-20 08:00:00-07",2.43,64.67,36,4.21,74.1,49,1.57,73.07,30,
"2017-08-20 08:05:00-07",4,63.94,34,3.73,69.88,41,0.73,73.09,11,
"2017-08-20 08:10:00-07",5.57,64.67,42,2.21,71.41,39,1.07,73.87,23,
"2017-08-20 08:15:00-07",4.91,66.9,40,4.27,71.14,44,1.09,75.95,20,
"2017-08-20 08:20:00-07",4.93,65.3,44,5.64,70.41,70,0.93,72.26,27,
"2017-08-20 08:25:00-07",3.82,63.24,29,3.36,72.75,44,0.36,77.14,14,
"2017-08-20 08:30:00-07",2.21,63.04,27,4.64,71.47,60,2.21,67.5,42,
"2017-08-20 08:35:00-07",3.73,65.59,32,4.09,69.55,40,0.91,71.53,19,
"2017-08-20 08:40:00-07",3.64,64.16,38,4.21,69.02,53,0.64,76.25,24,
"2017-08-20 08:45:00-07",5.45,65.27,37,4.27,72.98,53,3.18,76.82,44,
"2017-08-20 08:50:00-07",5.07,65.58,45,3.86,70.32,53,1.71,75.79,38,
"2017-08-20 08:55:00-07",5.82,63.08,48,4.27,69.68,44,1.82,75.23,30,
"2017-08-20 09:00:00-07",6.21,65.78,41,5.57,71.05,73,1.21,69.86,28,
"2017-08-20 09:05:00-07",4,63.68,34,3.82,71.28,40,1.91,76.15,33,
"2017-08-20 09:10:00-07",6.86,67.5,48,5.79,70.41,71,2.5,76.51,47,
"2017-08-20 09:15:00-07",4.64,67.87,46,4.73,71.73,52,1.45,73.48,27,
"2017-08-20 09:20:00-07",4.75,66.06,36,4.75,69.77,31,1.13,74.8,15,
"2017-08-20 09:25:00-07",9,63.91,54,8.55,71.36,66,2.73,73.23,39,
"2017-08-20 09:30:00-07",6.21,63.37,62,5.93,70.35,75,2.79,73.61,54,
"2017-08-20 09:35:00-07",7.27,66.39,59,6.09,73.65,60,3,72.33,40,
"2017-08-20 09:40:00-07",5.93,62.84,63,5.86,70.57,67,3.5,74.98,58,
"2017-08-20 09:45:00-07",9,62.03,69,6.36,69.91,67,1.82,75.55,31,
"2017-08-20 09:50:00-07",6.43,61.88,74,8,68.76,76,3.21,72.4,58,
"2017-08-20 09:55:00-07",6.45,60.55,51,6,70.98,56,3.91,75.11,55,
"2017-08-20 10:00:00-07",5.93,63.9,58,5.71,69.71,66,3.21,73.97,60,
"2017-08-20 10:05:00-07",5.73,62.59,44,5.55,70.18,56,1.45,74.4,25,
"2017-08-20 10:10:00-07",8,61.01,68,5.64,70,63,3.29,72.75,56,
"2017-08-20 10:15:00-07",7,63.77,57,6.91,69.48,73,3.36,74.18,45,
"2017-08-20 10:20:00-07",7.36,63.79,70,7,69.07,89,3.43,73.43,65,
"2017-08-20 10:25:00-07",6.64,62.81,54,8.82,68.47,75,4.73,71.61,57,
"2017-08-20 10:30:00-07",8.36,60.32,73,8.5,69.07,95,3.14,73.93,57,
"2017-08-20 10:35:00-07",9.09,62.47,60,8.27,67.52,66,6.64,71.54,80,
"2017-08-20 10:40:00-07",6.71,61,77,8,68.9,99,5.07,71.6,78,
"2017-08-20 10:45:00-07",8.91,61.45,66,8.91,66.7,81,5.64,70.32,62,
"2017-08-20 10:50:00-07",7.43,60.22,69,7.71,70.05,83,4.29,72.56,70,
"2017-08-20 10:55:00-07",6.27,62.07,54,7.27,68.05,65,4.09,72.65,52,
"2017-08-20 11:00:00-07",6.14,64.38,68,6.5,70.47,72,4.29,75.04,69,
"2017-08-20 11:05:00-07",8.2,63.64,22,6.8,69.43,35,4.8,75.04,27,
"2017-08-20 11:10:00-07",6.36,64.39,66,5.29,68.22,60,2.64,74.69,45,
"2017-08-20 11:15:00-07",8,63.61,49,9.27,69.67,69,5.91,74.3,73,
"2017-08-20 11:20:00-07",6.29,64.09,69,8,69.11,94,5.71,71.76,91,
"2017-08-20 11:25:00-07",9.55,63.16,69,5.36,68.6,52,2.82,73.65,40,
"2017-08-20 11:30:00-07",6.07,64.36,66,6.21,70.51,76,5,73.08,76,
"2017-08-20 11:35:00-07",7.18,64.42,62,8.27,69.59,78,4.82,73.72,67,
"2017-08-20 11:40:00-07",11.36,62.57,91,8.93,67.13,104,5.93,71.22,96,
"2017-08-20 11:45:00-07",9.45,63.53,60,7.91,70.41,69,4.64,72.84,58,
"2017-08-20 11:50:00-07",7.64,63.34,74,7.5,70.2,92,4.36,74.23,70,
"2017-08-20 11:55:00-07",7,59.65,63,9.36,67.7,87,5.82,71.99,70,
"2017-08-20 12:00:00-07",7,64.8,76,8.86,69.78,113,4.36,74.06,81,
"2017-08-20 12:05:00-07",10.27,62.82,74,8.73,68.51,78,5.73,72.61,70,
"2017-08-20 12:10:00-07",7.57,63.48,61,8.14,68.88,99,6.07,73.2,93,
"2017-08-20 12:15:00-07",9.8,62.6,35,9.4,68.59,41,6.6,73.05,38,
"2017-08-20 12:20:00-07",11.86,60.76,94,7,68.76,91,6.5,71.77,108,
"2017-08-20 12:25:00-07",8.36,60.98,63,9.36,67.62,84,6.45,69.85,74,
"2017-08-20 12:30:00-07",8.86,63.7,81,8.14,69.72,104,5.79,73.21,98,
"2017-08-20 12:35:00-07",8.36,62.94,65,7.36,69.81,77,3.18,73.87,46,
"2017-08-20 12:40:00-07",8.64,62.78,90,8.57,69.31,89,5.36,73.67,86,
"2017-08-20 12:45:00-07",8.91,60.88,73,8.27,68.97,78,6.18,70.61,75,
"2017-08-20 12:50:00-07",6.43,64.13,72,7.57,70.84,91,6,73.97,97,
"2017-08-20 12:55:00-07",12.36,60.49,82,8.09,68.73,75,5.91,71.18,71,
"2017-08-20 13:00:00-07",8.57,63.22,89,8.14,68.09,101,5.71,72.98,92,
"2017-08-20 13:05:00-07",8,63.52,48,8.18,68.09,77,4.36,73.86,58,
"2017-08-20 13:10:00-07",9.29,60.79,77,8.71,68.88,88,4.57,74.43,77,
"2017-08-20 13:15:00-07",7.27,64.49,63,8.82,67.91,82,3,73.49,45,
"2017-08-20 13:20:00-07",11.86,59.54,92,7.64,68.34,98,6.79,71.9,105,
"2017-08-20 13:25:00-07",9.55,63.18,66,10.64,68.38,97,5.36,72.28,72,
"2017-08-20 13:30:00-07",8.5,62.88,85,9.79,68.93,108,6,73.64,99,
"2017-08-20 13:35:00-07",7.45,63.8,59,7.36,70.23,66,5.45,73.69,70,
"2017-08-20 13:40:00-07",8.57,61.63,84,9.29,67.98,104,5.29,71.49,91,
"2017-08-20 13:45:00-07",6.55,65.89,56,6.82,71.39,67,4.91,74.55,62,
"2017-08-20 13:50:00-07",5.71,65.02,62,6.86,71.52,83,4.21,71.92,75,
"2017-08-20 13:55:00-07",11.18,61.41,68,8.45,71.53,78,6.64,71.4,84,
"2017-08-20 14:00:00-07",7.71,62.78,65,9.14,67.91,95,4.79,73.32,82,
"2017-08-20 14:05:00-07",6.82,60.67,57,8,71.05,79,4,71.13,55,
"2017-08-20 14:10:00-07",9.71,62.86,87,8.36,68.03,93,5.36,70.56,82,
"2017-08-20 14:15:00-07",8.36,60.36,58,9.64,67.94,78,5.27,70.54,68,
"2017-08-20 14:20:00-07",7.21,63.54,72,7.36,69.43,93,5.21,71.45,82,
"2017-08-20 14:25:00-07",7.91,61.05,60,8.45,68.01,72,4.64,72.65,60,
"2017-08-20 14:30:00-07",11.64,62.32,94,8.57,69.18,110,7.29,72.65,110,
"2017-08-20 14:35:00-07",7.09,64.22,59,7.36,69.49,76,5.55,73.19,68,
"2017-08-20 14:40:00-07",7.29,63.84,79,8.57,68.61,109,6.07,71.89,96,
"2017-08-20 14:45:00-07",8,62.1,58,7.18,70.32,68,4.64,69.1,58,
"2017-08-20 14:50:00-07",8.79,61.09,87,6.79,69.51,83,4.64,69.32,72,
"2017-08-20 14:55:00-07",10.45,60.46,82,7.64,68.8,71,5.64,71.86,69,
"2017-08-20 15:00:00-07",8.57,63.29,69,10.29,67.65,106,5.86,72.57,95,
"2017-08-20 15:05:00-07",7,63.26,46,9.64,67.27,88,4.36,72.56,63,
"2017-08-20 15:10:00-07",9.5,62.02,91,7.79,68.19,90,4.36,71.42,69,
"2017-08-20 15:15:00-07",13.45,59.8,88,7,67.26,65,4.82,69.49,65,
"2017-08-20 15:20:00-07",7,65.05,73,8,69.85,86,6.86,72.43,100,
"2017-08-20 15:25:00-07",6.82,61.86,59,8.73,69.07,76,4.73,71.07,57,
"2017-08-20 15:30:00-07",7.86,64.04,82,8.43,69.59,95,5.21,72.04,83,
"2017-08-20 15:35:00-07",8.36,64.17,63,5.82,72.28,60,3.27,73.58,48,
"2017-08-20 15:40:00-07",6.79,64.49,79,8,68.73,96,5.57,74.01,87,
"2017-08-20 15:45:00-07",11.36,61.08,61,7.27,69.49,65,6.27,72.31,77,
"2017-08-20 15:50:00-07",9.21,60.52,88,8.36,69.42,93,6.71,74.56,107,
"2017-08-20 15:55:00-07",7.73,63.15,61,8.64,68.46,82,4.27,71.74,61,
"2017-08-20 16:00:00-07",6.14,63.79,67,7.36,70.63,96,3.64,73.53,64,
"2017-08-20 16:05:00-07",8.91,62.2,70,8.09,68.25,83,5.18,72.59,71,
"2017-08-20 16:10:00-07",7.43,65.83,72,7.14,69.57,87,4.86,70.41,83,
"2017-08-20 16:15:00-07",8.36,63.15,60,6.91,72.88,67,4.09,70.91,56,
"2017-08-20 16:20:00-07",6.57,64.97,74,6.71,69.64,92,5.29,74.08,90,
"2017-08-20 16:25:00-07",9.09,60.25,56,7.91,66.99,77,3.45,73.31,45,
"2017-08-20 16:30:00-07",6.29,66.39,72,8.14,71.31,93,5.57,72.37,91,
"2017-08-20 16:35:00-07",10.64,61.87,76,8.73,70.98,84,3.82,71.59,54,
"2017-08-20 16:40:00-07",9.36,60.84,87,7.79,68.26,96,6,73.34,96,
"2017-08-20 16:45:00-07",7.91,63.44,55,7.18,68.7,64,5.36,73.3,70,
"2017-08-20 16:50:00-07",7.71,61.89,62,10.29,66.48,102,7,69.94,108,
"2017-08-20 16:55:00-07",9.36,61.79,58,11.64,63.64,81,7.91,67.13,90,
"2017-08-20 17:00:00-07",8.93,64.49,59,9.07,71.51,89,5.21,70.96,85,
"2017-08-20 17:05:00-07",5.82,67.39,49,7.09,68.77,66,4.73,72.55,55,
"2017-08-20 17:10:00-07",6.64,63.75,56,7.79,72.46,104,6.07,71.72,96,
"2017-08-20 17:15:00-07",9,62,65,8.91,66.38,65,6.45,72.26,78,
"2017-08-20 17:20:00-07",7.14,63.92,88,8.93,68.04,94,6.5,72.97,99,
"2017-08-20 17:25:00-07",8.73,64.74,65,6.73,68.72,60,6.27,73.56,82,
"2017-08-20 17:30:00-07",6.5,63.91,69,5.43,71.1,73,3.57,73.15,59,
"2017-08-20 17:35:00-07",8.64,63.04,55,8.27,69.16,70,3.18,74.16,45,
"2017-08-20 17:40:00-07",9.5,63.46,82,8.14,69.42,88,4.64,73.86,76,
"2017-08-20 17:45:00-07",7.55,64.04,54,8,71.05,79,5.82,74.2,75,
"2017-08-20 17:50:00-07",5,66.33,52,7.86,69.61,92,4.5,72.69,72,
"2017-08-20 17:55:00-07",7.36,63.45,51,7.45,69.81,68,4.45,73.34,58,
"2017-08-20 18:00:00-07",7.21,64.11,66,9.57,68.62,89,6.64,71.6,102,
"2017-08-20 18:05:00-07",5.91,64.33,36,6,72.17,65,3.27,74.45,47,
"2017-08-20 18:10:00-07",9.75,58.44,50,8.25,64.77,53,6,66.53,47,
"2017-08-20 18:15:00-07",9.09,54.74,53,7.09,64.91,57,3.91,67.72,50,
"2017-08-20 18:20:00-07",7.29,62.46,57,8.64,67.59,87,4.79,72.03,80,
"2017-08-20 18:25:00-07",8.55,62.02,53,7.91,70.5,64,4.73,74,58,
"2017-08-20 18:30:00-07",6,65.48,56,6.79,70.8,85,3.64,74.63,63,
"2017-08-20 18:35:00-07",7.18,65.23,44,8.45,71.53,75,3.27,74.1,48,
"2017-08-20 18:40:00-07",7.64,64.35,65,6.86,70.64,74,3.93,74.49,70,
"2017-08-20 18:45:00-07",7.73,62.75,56,7.55,70.23,61,3.18,75.08,50,
"2017-08-20 18:50:00-07",5.64,64.27,44,6.21,69.29,66,3.21,72,55,
"2017-08-20 18:55:00-07",7.82,64.49,49,9.18,67.6,65,3.45,72.04,48,
"2017-08-20 19:00:00-07",7.57,63.04,50,5.64,72.07,74,3.21,75.1,63,
"2017-08-20 19:05:00-07",12.55,63.62,53,6.18,68,50,3.73,71.71,49,
"2017-08-20 19:10:00-07",5.63,66,26,5.75,71.43,44,4.25,75.38,42,
"2017-08-20 19:15:00-07",5.27,65.24,42,6.45,69.47,68,3.09,74.4,42,
"2017-08-20 19:20:00-07",6.21,64,43,5.71,70.33,70,4.5,73.06,69,
"2017-08-20 19:25:00-07",4.73,67.3,37,3.91,70.73,51,3.91,74.8,50,
"2017-08-20 19:30:00-07",7.86,62.12,52,5.64,69.55,69,4.36,73.11,72,
"2017-08-20 19:35:00-07",4.64,64.82,33,5.45,70.63,59,3.09,75.65,46,
"2017-08-20 19:40:00-07",5.79,63.72,46,5.79,70.11,73,4.64,72.99,79,
"2017-08-20 19:45:00-07",5.45,65.43,42,7.36,70.26,53,3.36,72.93,46,
"2017-08-20 19:50:00-07",7.21,62.91,55,7.64,69.1,71,4.64,72.22,73,
"2017-08-20 19:55:00-07",7.55,64.76,54,7.45,69.13,60,3.73,72.72,53,
"2017-08-20 20:00:00-07",7.57,61.18,55,7.07,67.28,75,3.93,72.22,67,
"2017-08-20 20:05:00-07",4.45,66.81,27,4.09,70.91,43,2.91,75.38,45,
"2017-08-20 20:10:00-07",6.57,62.79,52,6.07,68.18,61,3.64,72.06,68,
"2017-08-20 20:15:00-07",7.09,63.4,43,5.91,68.02,49,2.55,72.64,36,
"2017-08-20 20:20:00-07",6.79,58.84,49,7.5,68.12,78,4.36,70.32,72,
"2017-08-20 20:25:00-07",5.45,67.5,34,3.82,69.45,40,3.09,73.58,45,
"2017-08-20 20:30:00-07",6.29,65.35,49,5.14,70.59,71,3,72.91,55,
"2017-08-20 20:35:00-07",4.73,63.56,34,6.09,67.85,54,2.09,72.81,32,
"2017-08-20 20:40:00-07",5.07,62.64,44,5.57,66,51,1.57,70.59,29,
"2017-08-20 20:45:00-07",4.09,61.4,25,6.18,67.48,58,5.64,70.88,75,
"2017-08-20 20:50:00-07",5.5,61.38,48,6.14,66.61,71,3.36,70.86,63,
"2017-08-20 20:55:00-07",5.91,62.9,40,7.45,67.19,54,2.45,70.97,36,
"2017-08-20 21:00:00-07",5.5,65.24,51,5.14,70.56,64,3.79,70.27,60,
"2017-08-20 21:05:00-07",5.36,63.06,34,4.55,70.16,43,3,73.32,41,
"2017-08-20 21:10:00-07",4.36,64.53,51,5.43,68.59,71,3.29,70.92,52,
"2017-08-20 21:15:00-07",5.45,63.39,33,5.55,67.76,46,2,71.46,28,
"2017-08-20 21:20:00-07",5.5,61.49,37,5.14,67.35,62,2.71,70.98,48,
"2017-08-20 21:25:00-07",5.91,63.59,46,5,70.38,47,2.91,71.41,39,
"2017-08-20 21:30:00-07",3.71,61.42,45,4.5,70.23,60,2.71,71.98,51,
"2017-08-20 21:35:00-07",3.36,63.23,30,5,67.85,54,3.45,71.39,46,
"2017-08-20 21:40:00-07",4.07,65.7,43,3.43,72.58,48,1.36,73,24,
"2017-08-20 21:45:00-07",5.55,62.08,24,5,67.73,44,2,71.59,32,
"2017-08-20 21:50:00-07",4.93,63.52,44,3.21,71.65,49,2.14,70.48,42,
"2017-08-20 21:55:00-07",2.45,64.59,17,3.36,69.28,39,2.09,70.75,32,
"2017-08-20 22:00:00-07",5.21,62.68,47,4.64,69.35,52,2.14,71.18,39,
"2017-08-20 22:05:00-07",2.64,67.05,21,4.09,71.09,46,1.82,71.65,31,
"2017-08-20 22:10:00-07",3.07,64.53,30,4.07,68.37,54,1.43,67.5,30,
"2017-08-20 22:15:00-07",3,64.87,30,3.18,72.2,41,0.91,77.32,19,
"2017-08-20 22:20:00-07",3.14,65.4,43,3.5,69.88,51,1.5,74.72,32,
"2017-08-20 22:25:00-07",8.36,63.02,41,4.09,67.23,44,2.64,70.77,39,
"2017-08-20 22:30:00-07",5,64.25,32,2.29,69.76,37,0.93,70.35,26,
"2017-08-20 22:35:00-07",7,64.15,41,3.36,68.14,28,1.09,70.79,19,
"2017-08-20 22:40:00-07",4.29,59.82,34,3.43,71.61,54,2.57,72.93,46,
"2017-08-20 22:45:00-07",2.36,68.29,21,3.27,70.57,42,1.82,72.45,31,
"2017-08-20 22:50:00-07",2.71,63.43,23,4.71,69.19,57,2.07,71.68,41,
"2017-08-20 22:55:00-07",3.91,64.39,23,2.36,72.65,31,1.45,71.68,25,
"2017-08-20 23:00:00-07",3.71,65.87,31,3.64,70.93,46,2.43,72.27,45,
"2017-08-20 23:05:00-07",2.82,66.65,23,3.36,72.09,43,1.91,71.87,30,
"2017-08-20 23:10:00-07",4.07,63.35,34,2.93,70.75,44,0.71,75.1,20,
"2017-08-20 23:15:00-07",2.91,62.67,18,4.27,68.54,41,2.45,69.87,31,
"2017-08-20 23:20:00-07",3.07,67.31,32,3.29,68.44,34,0.64,73.94,18,
"2017-08-20 23:25:00-07",4,57.4,20,1.55,71.17,23,0.91,75,21,
"2017-08-20 23:30:00-07",3,64.86,14,2.25,71.43,21,0,72.33,3,
"2017-08-20 23:35:00-07",5.36,65.52,33,2.91,71.43,30,1.82,71.63,27,
"2017-08-20 23:40:00-07",2.5,62.25,16,3.14,69.44,43,1.79,72.09,32,
"2017-08-20 23:45:00-07",2.91,68.87,23,3.09,73.03,39,0.73,72.13,16,
"2017-08-20 23:50:00-07",2.57,62.87,23,4.07,68.9,41,1.57,72.48,29,
"2017-08-20 23:55:00-07",2.45,67.42,19,2.91,71.35,26,1.09,70.8,20,
"2017-08-21 00:00:00-07",3.57,63.39,28,2.07,69.81,32,0.86,73.71,21,
"2017-08-21 00:05:00-07",3.5,62.71,14,1.6,72.13,16,0.7,75.54,13,
"2017-08-21 00:10:00-07",2.57,64.93,15,3.36,69.29,38,0.71,72.89,19,
"2017-08-21 00:15:00-07",5.55,64.08,25,1.82,72.87,23,0.18,72.17,6,
"2017-08-21 00:20:00-07",2.64,55.56,18,3,61.8,41,1,72.88,25,
"2017-08-21 00:25:00-07",2.64,63.29,14,1.36,71.24,17,0.18,73,7,
"2017-08-21 00:30:00-07",3.64,64.27,22,2.29,68.8,25,0.21,73.79,14,
"2017-08-21 00:35:00-07",1.91,64,10,1.36,67.94,17,0,71,2,
"2017-08-21 00:40:00-07",2.13,62.15,13,2,67.9,10,0.25,70.33,6,
"2017-08-21 00:45:00-07",2.82,53.57,14,1.18,69,9,0,70.33,3,
"2017-08-21 00:50:00-07",1.57,67.18,17,0.86,68.55,22,0.07,72.25,8,
"2017-08-21 00:55:00-07",2.45,63.21,14,1.27,71.93,15,0.09,81.8,5,
"2017-08-21 01:00:00-07",0.86,69.6,10,1.5,68.26,19,0,74,5,
