starttime,lane_1_occ,lane_1_spd,lane_1_vol,lane_2_occ,lane_2_spd,lane_2_vol,lane_3_occ,lane_3_spd,lane_3_vol,lane_r_1_vol
"2017-08-20 00:00:00-07",1.15,63.87,15,4.85,67.38,34,0.46,71,19,
"2017-08-20 00:05:00-07",1.3,61.67,12,1.9,68.07,27,0.4,69.33,9,
"2017-08-20 00:10:00-07",2.88,64.44,18,2.38,71.23,22,0.38,72.56,9,
"2017-08-20 00:15:00-07",1.09,66.2,10,2.64,69.44,34,0.91,74.39,18,
"2017-08-20 00:20:00-07",1.64,65.75,24,1.5,69.31,26,0.14,74.25,8,
"2017-08-20 00:25:00-07",3.82,64.47,17,6.82,71.57,37,0,55.13,8,
"2017-08-20 00:30:00-07",0.79,66.53,15,1.36,70.52,25,0.29,69.91,11,
"2017-08-20 00:35:00-07",4,64.76,17,0.82,72.53,17,0.27,74.25,8,
"2017-08-20 00:40:00-07",3.5,60.45,20,2,68.88,33,0.57,72.62,13,
"2017-08-20 00:45:00-07",0.82,65,10,0.82,71.94,17,0,74.5,2,
"2017-08-20 00:50:00-07",4.17,62.95,20,1.5,70.26,19,0.25,71.14,7,
"2017-08-20 00:55:00-07",0.55,72.78,9,2.18,68.5,18,0.36,70.78,9,
"2017-08-20 01:00:00-07",0.57,68.5,12,1.07,69.13,23,0.29,74,10,
"2017-08-20 01:05:00-07",4.45,61.6,20,1.45,65.4,15,0.45,69.56,9,
"2017-08-20 01:10:00-07",0.86,69.2,10,1.93,70.32,25,0.14,76.25,8,
"2017-08-20 01:15:00-07",1.36,62.67,6,1.09,62.2,15,0.18,78.33,6,
"2017-08-20 01:20:00-07",1.14,66.73,11,1.71,69.81,21,0,65.8,5,
"2017-08-20 01:25:00-07",2.45,65.5,10,1.27,71.93,15,0,72.8,5,
"2017-08-20 01:30:00-07",1,68.63,16,0.57,70,16,0.07,72,4,
"2017-08-20 01:35:00-07",1,68.83,12,1.18,71.62,13,0.45,75.5,10,
"2017-08-20 01:40:00-07",1.57,61.5,14,1,68.15,20,0.07,75,3,
"2017-08-20 01:45:00-07",0,24.33,3,1.64,69.86,21,0.18,67.5,6,
"2017-08-20 01:50:00-07",1.93,59.83,12,0.43,71.83,12,0.07,71.5,6,
"2017-08-20 01:55:00-07",1,65.7,10,1,63.82,11,0.18,73,3,
"2017-08-20 02:00:00-07",0.29,70.71,7,0.5,68.83,12,0,71,2,
"2017-08-20 02:05:00-07",1.18,63.38,8,0.55,71.45,11,0,78,1,
"2017-08-20 02:10:00-07",1.21,65,17,0.36,69.36,11,0.14,76,4,
"2017-08-20 02:15:00-07",0.73,63,10,1.45,68,18,0.18,76,2,
"2017-08-20 02:20:00-07",1.21,65.18,11,0.79,64.69,16,0,69,2,
"2017-08-20 02:25:00-07",0.36,67.3,10,0.27,70.38,8,0.09,73.4,5,
"2017-08-20 02:30:00-07",3.14,59.72,18,0.93,68.21,19,0.14,70.57,7,
"2017-08-20 02:35:00-07",1.36,59.86,7,0.27,66.55,11,0,72.33,3,
"2017-08-20 02:40:00-07",1.36,60.15,13,0.07,58.42,12,0,76.5,4,
"2017-08-20 02:45:00-07",0.73,67.83,6,0.36,72.82,11,0,,0,
